,Price,Picture Url,Neighbourhood,Zipcode,Latitude,Room Type,Accommodates,Bathrooms,Bedrooms,Guests Included,Availability 30,Bath_for_Beedrooms
8607022,1.9542425094393248,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/3f98ba34e59c4b74dd170aad509f729c,65.80434782608695,59.016129032258064,40.40413506189281,87.57165453970262,3,1.0,1.0,1,0,1.0
13198264,1.9294189257142929,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/15de808c6c1a14d51a58ca41c81d7604,64.5813953488372,66.67619047619047,40.42209340155601,87.57165453970262,4,1.0,1.0,2,0,1.0
16036174,1.6989700043360187,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/3d0dcb4f90a4876aecce3c753beb7119,52.16216216216216,61.13333333333333,40.432135388869725,87.57165453970262,3,1.0,1.0,1,3,1.0
14344774,2.041392685158225,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/0d55af7f72acf7a3d3482ae82e1041e7,84.61260053619303,81.46255506607929,40.42024627535152,87.57165453970262,4,1.0,2.0,1,12,2.0
14964624,1.6020599913279625,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/d83a12d2ef51bf20db51ba0d1c08a123,78.73684210526316,76.26190476190476,40.44125202619703,34.60482283464567,2,1.0,1.0,1,29,1.0
13887060,1.8976270912904412,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/3dd437cf4c27aafce26f45f5bc0d8f55,79.08307692307692,75.94586894586895,40.42024676871163,87.57165453970262,2,1.0,1.0,1,12,1.0
2026316,1.4771212547196624,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/fa429e22686754636cd9ea70f4121d91,41.21428571428572,72.75961538461539,40.448301164743405,34.60482283464567,1,1.0,1.0,1,15,1.0
15667563,1.3010299956639813,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/b7ff444d0649c2c252fced99ceb916a1,47.64429530201343,53.85135135135136,40.43631278796077,34.60482283464567,1,1.0,1.0,1,0,1.0
769131,1.3979400086720375,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/2353672c2a01b58950d064608feb89ce,78.22241379310344,64.63533834586467,40.40920805952384,34.60482283464567,2,1.0,1.0,1,30,1.0
14359282,1.6989700043360187,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/811c5a6ca7e9870561e8ef66ea57931c,83.11206896551724,83.62790697674419,40.41224973581248,87.57165453970262,2,1.0,1.0,1,1,1.0
13330296,1.845098040014257,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/04dc4cd14e13121d28477ff1b7ed888a,58.769572953736656,67.30588235294118,40.40675094762901,87.57165453970262,4,1.0,2.0,1,1,2.0
14465432,1.6532125137753435,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/2f214e997e679130dd4cd3d1cadecbe0,33.0,53.73529411764706,40.451560763105306,34.60482283464567,2,1.0,1.0,1,0,1.0
4176994,1.6989700043360187,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/357854c77df446d2421a606d42b16e1d,58.769572953736656,66.13808463251671,40.40953343437864,87.57165453970262,4,1.0,0.0,2,5,0.0
1675198,2.155336037465062,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/2d9b3a229551434b8af0e9568c5c1f01,78.22241379310344,82.9808362369338,40.41998944852878,87.57165453970262,6,2.0,2.0,4,10,4.0
136058,1.3424226808222062,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/0a1eb95cde6ca8366047db7961938978,34.83783783783784,47.21428571428572,40.35735434989223,34.60482283464567,1,1.0,1.0,1,0,1.0
12372190,1.7781512503836436,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/e1064432093f56dedfcf257a7985ca61,58.769572953736656,66.13808463251671,40.40553115656273,87.57165453970262,2,1.0,1.0,1,0,1.0
11128281,1.8325089127062364,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/20d37002e0a6998def0fb7a53b942e49,78.22241379310344,82.9808362369338,40.4190354460814,87.57165453970262,4,1.0,2.0,3,3,2.0
3382630,1.4771212547196624,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/e36ccff9df746c8c5ee9f02a650d50c3,58.769572953736656,68.47654320987654,40.40730845556693,34.60482283464567,3,1.0,1.0,2,0,1.0
8364069,1.4313637641589874,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/9d8cb1f864a9218e1275a93fdae8faef,49.26315789473684,45.88034188034188,40.40121575850437,34.60482283464567,2,1.0,1.0,1,0,1.0
15266883,1.7781512503836436,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/ff1d8c8e0fbbc6195a13813a7a918736,47.64429530201343,53.85135135135136,40.43535009115396,87.57165453970262,4,1.0,1.0,1,11,1.0
12901585,1.6989700043360187,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/04e2d7f6ad76c920e5483e50bc55f6e1,47.35714285714285,53.73529411764706,40.45846892674892,87.57165453970262,4,1.0,2.0,1,13,2.0
6578543,1.255272505103306,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/eb2bfddfb5c2c55c6ed343503d768a4e,47.64429530201343,53.85135135135136,40.436073013330784,34.60482283464567,2,1.0,1.0,1,2,1.0
2493546,1.4771212547196624,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/c686f0d49496e67df0bd5cdba83c651d,79.08307692307692,75.94586894586895,40.42178168082951,34.60482283464567,2,1.0,1.0,2,6,1.0
15576015,2.155336037465062,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/f9f756a92a51a7a6c1e891dff19347f0,81.464,75.51282051282051,40.434142943067776,87.57165453970262,4,2.0,2.0,2,0,4.0
5819351,1.99563519459755,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/443caaf9b3e6ef5692f09551763c7600,84.61260053619303,69.16028368794326,40.415605280123,87.57165453970262,6,1.0,2.0,4,6,2.0
189512,1.845098040014257,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/5f774cc34c2e5f4084328c7983539cf1,72.12084592145015,68.47654320987654,40.40957562239687,87.57165453970262,2,1.0,1.0,2,1,1.0
15219447,1.740362689494244,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/6aea42897f36078ff2ea7494a614509c,43.583333333333336,44.95189003436426,40.39995251858552,87.57165453970262,2,1.0,1.0,1,0,1.0
12883981,1.7160033436347992,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/d2683ba1c96187cd495487ce6fa62685,78.22241379310344,81.46255506607929,40.42128665051595,34.60482283464567,2,1.0,1.0,1,0,1.0
16363386,1.414973347970818,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/ce51b255cd00267a4ed30b101c1eee02,65.8080808080808,67.30588235294118,40.4311328464089,34.60482283464567,1,2.0,1.0,2,0,2.0
1801940,1.3617278360175928,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/d31e865ad2cb06381f127c641e02a0f4,58.769572953736656,68.47654320987654,40.40712551462922,34.60482283464567,1,1.0,2.0,1,10,2.0
14444917,1.977723605288848,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/49a67e352dfb8ef0ad5755dc3965285f,79.08307692307692,75.94586894586895,40.42174453615921,87.57165453970262,4,1.0,1.0,2,8,1.0
14552154,1.845098040014257,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/c5937eed7fcc4e268e2522e5aa06f51c,70.37463976945244,75.94586894586895,40.42426232820453,87.57165453970262,4,1.0,1.0,1,6,1.0
12588488,1.505149978319906,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/ccd171e7718aa934f152a0cb71318262,70.97590361445783,56.66666666666666,40.499445487973006,34.60482283464567,4,1.0,1.0,1,22,1.0
7171724,1.380211241711606,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/08813b0533ef2ba2f45957c4c707ad17,72.12084592145015,66.13808463251671,40.4130248527428,34.60482283464567,1,1.5,1.0,1,0,1.5
13996952,1.3979400086720375,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/132035abc81b651c64ef9f3cc657711e,70.37463976945244,75.94586894586895,40.42473987696715,87.57165453970262,4,1.0,1.0,2,6,1.0
13893850,1.845098040014257,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/019882acc7c978c8bb1bec5d13e3384b,92.01754385964912,103.85714285714286,40.45441688618654,87.57165453970262,4,1.0,1.0,1,9,1.0
17324816,1.3979400086720375,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/8eeb025c4bd2ef0cdbfe191609b8ff90,81.464,77.14957264957265,40.43604391719478,34.60482283464567,2,1.0,1.0,1,16,1.0
18053766,1.6020599913279625,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/9600aede94eb80141ad1d0b2c914e499,83.11206896551724,82.5814606741573,40.41391158605063,34.60482283464567,4,1.0,2.0,2,9,2.0
3517921,1.8388490907372552,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/622c773d36a1e4c6e529368a0d1aa3a5,70.37463976945244,75.94586894586895,40.4220487058611,87.57165453970262,4,1.0,1.0,2,16,1.0
2947570,1.3979400086720375,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/c42292894ac44ece27b493678477a3e1,32.473684210526315,36.14150943396226,40.39220406830484,34.60482283464567,3,1.0,1.0,1,12,1.0
9800010,1.6020599913279625,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/b6a412d9b842818531b4c4ceac8eee39,61.69791666666666,61.65714285714286,40.45484869284568,34.60482283464567,1,1.0,1.0,1,0,1.0
560941,2.041392685158225,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/134fae8df460c23ff6a12135eecbad43,142.83823529411765,121.06666666666666,40.42314175214048,87.57165453970262,2,1.0,1.0,2,6,1.0
